anio,provincia,nacimientos_cantidad,poblacion,tgf,defunciones,tbn,tbm,crecimiento_vegetativo,tasa_crecimiento
2018,salta,24868,1388532,2.5585088630088673,8178,17.90956204106207,5.889673410479557,16690,12.019888630582514
2018,san_juan,13489,764464,2.5207204001758092,5245,17.645042801230666,6.861016346093471,8244,10.784026455137194
2018,san_luis,6974,495629,2.010144108366771,3331,14.071008758567396,6.720752821162603,3643,7.3502559374047935
2018,santa_cruz,5026,347593,2.065634233140483,1641,14.459439631983383,4.721038686049489,3385,9.738400945933893
2018,santa_fe,50622,3481514,2.0771751271757877,29382,14.540225890230515,8.439431810413515,21240,6.100794079817
2018,santiago_del_estero,18642,958251,2.7791704440098237,6163,19.454193108068765,6.431509072257686,12479,13.022684035811078
2018,tierra_del_fuego,2661,166487,2.2833185602651085,603,15.98322992185576,3.6219044129571683,2058,12.361325508898592
2018,tucuman,27166,1654388,2.3457962357422457,11101,16.42057365019572,6.710034163690742,16065,9.710539486504977
2019,buenos_aires,228455,17371119,1.8787752574505172,137993,13.15142680215362,7.943817551419687,90462,5.207609250733934
2019,capital_federal,32371,3072029,1.5053336317556154,30895,10.537335422289308,10.056871207921539,1476,0.4804642143677693
2019,catamarca,5698,411824,1.976572516414779,2526,13.836007614903453,6.133688177473872,3172,7.702319437429581
2019,chaco,20940,1192616,2.5082914965324727,8222,17.55804047572731,6.894088289944123,12718,10.663952185783188
2019,chubut,7630,608729,1.79061618552755,3374,12.53431329869285,5.542696339421976,4256,6.991616959270873
2019,cordoba,50195,3722332,1.9264037398368241,30181,13.48482617885777,8.108089230084795,20014,5.376736948772974
2019,corrientes,17928,1111052,2.305151205472703,7486,16.13605843830892,6.7377584487494735,10442,9.398299989559444
2019,entre_rios,18750,1373270,1.9505060392868325,10565,13.653542275007828,7.693315953891077,8185,5.9602263211167505
2019,formosa,10010,600229,2.3824240414908315,3815,16.67696829043582,6.355907495305958,6195,10.321060795129862
2019,jujuy,10105,762440,1.8933574164149685,4534,13.25350191490478,5.9466974450448555,5571,7.306804469859924
2019,la_pampa,4285,355422,1.7222987241725531,2454,12.056091069207872,6.904468490976924,1831,5.151622578230948
2019,la_rioja,5089,378523,1.9206230532887039,2282,13.444361373020927,6.028695746361516,2807,7.415665626659411
2019,mendoza,26692,1969982,1.935623197137262,14284,13.549362379960833,7.25082767253711,12408,6.298534707423723
2019,misiones,22797,1247362,2.610881432747098,7268,18.276170029229686,5.826696660632599,15529,12.449473368597086
2019,neuquen,9403,655501,2.049250442464183,3521,14.34475309724928,5.371463964204478,5882,8.973289133044801
2019,rio_negro,9558,738060,1.8500238075882331,4643,12.950166653117632,6.290816464786061,4915,6.6593501883315716
2019,salta,22454,1406584,2.2804996258412475,8046,15.963497380888734,5.720241379114222,14408,10.243256001774512
2019,san_juan,12318,772876,2.2768390863660994,5179,15.937873604562697,6.700945559184138,7139,9.236928045378558
